MMSI,Method,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19,Sub20
304927000.csv,Kalman,17.62094142652776,49.14893280040433,96.73510600092959,142.67434870692324,173.80254875034552,189.83309648928713,176.52169816265138,218.4167692644573,251.63675378461255,270.53652366807296,307.5419534976456,400.8198114706522,445.95958645805837,401.62725920847055,382.1878072334899,365.13077966558745,412.01831442410656,509.26034640362394,555.0537944406499,538.2711979978976
304927000.csv,Linear,32.13996023079307,47.27371986217268,62.50467348832947,77.21263545686655,92.31546970298515,107.81129811641809,120.43707079790683,138.38102358848965,145.85624001360668,162.3165576336169,183.35540094561452,196.50182707407302,200.00353057671035,207.03862039767293,216.14557968308696,227.7939532283504,242.48022330876393,259.4456400599886,278.13847361469385,300.63610266787316
636092331.csv,Kalman,7.2987105940331,8.421808203332251,10.15595696393733,12.435418377180651,15.535112453285077,17.436518274853515,21.32884398640959,27.999088245344474,31.1111869982795,34.48723192254482,46.31141776926647,56.35979166767356,64.5173992645488,58.66083355489901,52.674514572856005,56.419515595994305,67.5591592369132,62.89850944832382,68.30633978490982,71.7917688680295
636092331.csv,Linear,67.88379624166302,100.57922075130664,131.98993472250302,164.45832180894712,192.9424824118135,227.42388133146054,253.72113556872208,291.5293174036206,306.9955475371414,340.3171969894641,391.05194959939536,418.75063864718175,422.6835463297152,435.6314858230425,456.757862912705,481.5288932489304,509.88433056442557,547.470682054517,589.3452303786876,633.9020356720343
224389000.csv,Kalman,11.98223293524079,20.04759707759404,32.0674337960217,51.647926622660016,91.48485821590188,153.00535774466383,148.80035564723434,204.75896208847786,194.60362126959902,228.64690104507204,235.33516103733822,277.2782792843666,248.48530091409972,235.69998247454498,253.4099947947225,294.86321091034483,282.4557170839659,250.70397968859095,205.07640886057482,383.81803993490234
224389000.csv,Linear,69.57860409595517,103.12088356058426,135.45389634004286,170.11566198313807,202.53657808502857,235.20736108942828,263.49491929125554,297.78790098988964,312.54939400551683,349.4964057465693,393.2268574712005,426.9433893752994,437.4626011818741,450.56919336535475,473.53642460743515,500.2353793951593,532.8198668945788,570.6906845350599,614.8549965274659,668.8998811083
220540000.csv,Kalman,11.527980285640727,13.917485353070512,22.134812919417765,34.57659072399298,54.133021701300926,78.06566049068326,86.47849707290543,114.31775281941214,132.7907058167621,147.21987935558562,194.86801575460473,256.7438785728421,303.13662791875834,279.9127629907073,275.58627786508066,248.58254985316862,244.14370576996075,246.1842530897815,243.02795742899158,191.18760792349136
220540000.csv,Linear,88.74886418177852,132.26315966601206,176.1638201488974,218.3676888319557,260.2783733772623,304.9462859998772,333.6227629694881,391.20304316669444,414.15052103595906,448.0992135153949,501.33394783650834,563.6814407636031,580.5115799548896,593.6049862416268,614.7065827554865,641.9536531706253,675.5026113482537,718.3419948415506,766.3224851543907,822.0719250518079
211286440.csv,Kalman,14.224651607076915,31.561063228816604,57.73466747453186,78.21307299393597,94.16686594560139,116.89757109619013,136.3797349725134,164.46453230764521,163.8998053585326,182.28459143929925,182.41451928475308,256.8180699239698,222.8016113798078,246.45823319976668,291.3444909464528,284.02153757468733,299.9280705573261,313.6903720599965,285.83020752467024,436.9958920362837
211286440.csv,Linear,38.068949273292,56.301561273453835,74.57305314962723,92.26469001855645,110.16423145357308,126.60460099524492,145.51240075762237,160.50618583815637,176.94636419490038,195.78197892079598,218.3233287931988,229.31404846565147,234.28000211461213,244.15246885334136,257.46688736799706,273.23206755877953,297.3938685226863,323.89403942052184,360.10911159347967,408.6704590712147
