MMSI,Method,Sub1,Sub5,Sub10,Sub15,Sub20
538004506.csv,Kalman,11.147618014743225,26.392916566229104,56.58379960588491,241.5068542510301,597.8661356189808
538004506.csv,Linear,34.058362002511906,97.61846082172698,167.61076512991764,266.0615567043322,515.4022265587294
226105000.csv,Kalman,18.61442885288582,223.3758595889783,333.67571133353283,481.2420477566095,838.706009422101
226105000.csv,Linear,131.8621391835854,383.9306097198691,679.6720506701918,905.2317058492018,1625.9875556883846
235097013.csv,Kalman,10.626721645151632,45.352574028653294,101.06803014579279,187.83676136273724,135.4772865170631
235097013.csv,Linear,75.62589023832994,218.69464113930317,375.7987201620041,516.6781668501977,694.4909474341222
305714000.csv,Kalman,7.822227201316458,124.8729208408578,369.97854395855245,950.4293269942909,2223.0864852255677
305714000.csv,Linear,73.33951752484636,274.847019654415,526.6009084301602,1063.075797112998,6959.81684024321
304519000.csv,Kalman,14.150928703445604,65.65351388101561,169.33024191662162,239.21625723813395,243.99628245290387
304519000.csv,Linear,53.19453546932937,153.18632316676477,263.1938302384937,361.09939194367087,483.79440416528735
304927000.csv,Kalman,17.6209414265297,173.80254875038608,270.53652366844517,382.1878072323396,538.2711980825404
304927000.csv,Linear,32.13996023079312,92.31546970298434,162.31655763361655,216.1455796830866,300.6361026678728
636092331.csv,Kalman,7.298710594032905,15.535112453290447,34.487231922449155,52.67451457302525,71.79176886665539
636092331.csv,Linear,67.88379624166303,192.942482411813,340.31719698946404,456.7578629127057,633.9020356720354
224389000.csv,Kalman,11.982232935239677,91.4848582158873,228.6469010439211,253.4099947953709,383.8180400773251
224389000.csv,Linear,69.57860409595517,202.5365780850291,349.49640574656803,473.5364246074346,668.8998811082986
220540000.csv,Kalman,11.52798028563997,54.13302170132071,147.21987935522384,275.58627786494804,191.18760793686386
220540000.csv,Linear,88.74886418177852,260.27837337726214,448.0992135153952,614.7065827554858,822.0719250518072
211286440.csv,Kalman,14.224651607076936,94.16686594563694,182.2845914402485,291.34449095226233,436.99589202956963
211286440.csv,Linear,38.068949273291906,110.16423145357307,195.7819789207953,257.46688736799643,408.67045907121394
207138000.csv,Kalman,12.984508476730031,308.31113573109747,230.6512788029583,375.77939878556424,723.4591423613808
207138000.csv,Linear,37.40233541589271,108.90354470557918,186.83045910148613,261.22057169685814,352.4536560865661
207138000.csv,Kalman,13.433226148873104,356.2065798896187,611.157714171022,725.7433304613381,713.500723366907
207138000.csv,Linear,99.88431187134447,293.66115941085644,504.98800936406684,694.8111341836752,928.4551305925168
215901000.csv,Kalman,9.331093323261433,40.15123553193982,107.6029002444193,187.78043248039083,375.897667138167
215901000.csv,Linear,31.358302785455063,90.20419911807114,157.23840363412614,208.7207327411775,348.22996282082664
227146400.csv,Kalman,14.518474908538565,120.50676399423315,225.2842001586664,193.76435668768795,318.3918172134183
227146400.csv,Linear,109.88074791077555,313.7591585801754,582.8047295353631,707.1842992010149,1044.4207630130625
314237000.csv,Kalman,8.228800532098596,17.966945930909272,39.43652084705938,74.28875499681854,143.72791657750764
314237000.csv,Linear,37.24263503002132,103.54772712962702,184.14525306914058,296.23768516639564,276.3532615902796
565494000.csv,Kalman,19.903475703661144,182.73036784837169,343.38095574935096,725.1499255470145,1760.8800179817752
565494000.csv,Linear,50.03540929941785,144.71992859521868,250.4382418694693,462.4275488140283,1050.0338414170933
244740921.csv,Kalman,14.225073341959442,125.89728134106997,208.25259753277984,303.2498890892293,717.6025858108338
244740921.csv,Linear,35.86699370247408,103.50569079885722,183.18686389360116,235.79610538779346,452.53765409371306
227330000.csv,Kalman,13.86370583604041,301.2217684096039,480.8323248986767,692.5420877220449,714.9021089950339
227330000.csv,Linear,94.45420555778891,270.7632316948021,475.5244340521788,641.5304001069532,926.1242760426979
227372000.csv,Kalman,28.40411922974357,349.94576378649083,1555.3846674463114,1684.0137535607757,10444.680983225693
227372000.csv,Linear,141.20082912721352,401.1772050131576,1148.1497266232116,1641.2393410558702,7801.379783012478
228130000.csv,Kalman,13.08238807033866,116.5313502784101,341.9828550239509,372.4307123508693,1488.1368409355161
228130000.csv,Linear,116.49409332695076,322.1217269829563,650.632596806226,1023.7907123155655,1756.2918962157603
228727000.csv,Kalman,18.978458951313062,343.37256582073843,336.9019714986994,526.639210290319,1415.3964190026252
228727000.csv,Linear,48.08190121376068,136.29232485416892,242.5557534751813,318.4588486569281,512.8381242878789
227988000.csv,Kalman,9.114267076847915,303.38691061443586,271.275144560971,419.1436626387947,780.4550774122667
227988000.csv,Linear,46.82783879889935,137.35051777048383,240.65452519478097,332.2081869626078,468.84210711012474
244925000.csv,Kalman,18.80035301781419,139.63742360289498,582.3538138807965,856.0145683180498,1755.8825613415406
244925000.csv,Linear,26.787808037145638,77.91794211108044,229.18844744734324,279.0610058854434,1049.939776165999
247224200.csv,Kalman,19.828224399688743,154.26336050855218,611.5918585609386,2447.2665285700314,9239.055918730608
247224200.csv,Linear,66.75152899760896,178.03532546088766,339.58731970209766,940.7566072488769,3685.925131368484
249104000.csv,Kalman,9.765540440765795,37.24307397434826,111.3722456299186,190.68608095662842,325.7027344517589
249104000.csv,Linear,44.695666826705285,128.22240723173854,227.97841247670556,306.9426335139932,439.93478400954257
518866000.csv,Kalman,9.700189222993629,31.293060220647483,83.75199169899835,162.26905273937268,134.39740091457202
518866000.csv,Linear,83.66164755971268,240.14535475705316,413.5963410780292,566.2225406585178,770.9862813913911
276700000.csv,Kalman,8.804638417304142,16.171070454609417,36.75692513965753,62.38530456450739,88.5257039077655
276700000.csv,Linear,30.535316818968997,86.09782002918074,153.668146709249,221.1972828596698,276.6245160713083
577228000.csv,Kalman,9.925043515469822,104.40717492866517,234.58515755346082,267.4037192159931,404.69969997979837
577228000.csv,Linear,44.52868598716828,125.24022686059158,223.57445377611495,287.5708026396639,582.1441475078793
227558000.csv,Kalman,9.209855977405558,233.38567144706437,404.96489700437957,503.5232482141639,439.3770317948659
227558000.csv,Linear,69.66723680418865,200.3698780576256,356.5155450935707,476.8943819139715,654.5303340513233
227364000.csv,Kalman,13.769850027466829,139.56346799762753,254.74494992629673,357.4203353674664,382.09809012605587
227364000.csv,Linear,111.33198741362287,322.2070705285797,557.4733682472702,918.8373622730905,1063.8260528140527
