MMSI,Method,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19,Sub20,Sub21
538004506.csv,Kalman,11.147618014743069,13.999698610956777,18.06002282710436,22.020316360655233,26.555429470698247,41.559888625841324,51.43234037861011,58.797960880665016,68.70756643815332,77.31888376791338,89.97003180380032,101.81022683218792,117.61118607538847,128.8666619051635,141.25283533000072,146.61017248031388,149.6372142071191,152.63426971588686,171.60469132104183,178.61875843820826,193.28752861889038
538004506.csv,Linear,34.058362002511906,49.795852950416204,65.7141944141168,81.33048724333665,98.02938344420525,113.30435165251296,128.0259826733227,142.33637677295008,161.83796807487727,174.13494813570622,191.35335919674793,204.06680679806598,217.98879455746132,239.87116127503563,258.12894236808404,271.6544185785978,281.9167840154642,294.8073556599406,303.85248828544815,321.6812021092762,344.9883845673715
226105000.csv,Kalman,18.614428852885418,28.974908365368048,71.81193169166708,142.55864213897814,235.33919491787944,323.35987926781183,429.3048746855539,447.1182587057361,565.2112683521581,442.5568399554185,437.94004940623194,454.1581709533061,458.88233570907965,302.49220945682924,219.7649379430699,317.3618264456625,626.6157585650653,820.1098752251221,850.1628874961646,919.3457239319032,759.773336161023
226105000.csv,Linear,131.8621391835854,197.44685823699137,259.3275880946331,324.7460069465893,390.3450600178885,454.70214834369585,519.2805208701712,576.9994173076777,643.888806256186,702.0609183481614,757.1823156400685,805.8929131277587,863.0195085397864,938.7029936236664,999.7570516181124,1046.4342933188443,1088.2606764053962,1148.2907637291123,1220.5872799358676,1295.592965386099,1370.165931643661
235097013.csv,Kalman,10.626721645151873,14.58591549298572,19.637687704474043,32.23086826664338,43.451952219492945,114.76702237137432,86.7767148759994,139.10793608714042,277.6385992963296,85.70224459865322,147.1533859168054,228.17998764418329,174.22885162113243,196.18504797920713,149.05449247453973,144.22888423823457,159.22769488785474,204.10182340726658,232.9201043219537,204.32122163021796,232.64348465321382
235097013.csv,Linear,75.62589023832994,112.46968137086508,148.78161964499986,186.69345238702857,221.2941697316812,260.80692501890377,297.4044415466566,332.8778343163395,362.75417559697286,398.33856256365146,430.6135257018425,474.4258177341856,499.9760105052289,530.4274326176404,576.3480234780368,619.3418830740666,639.0151413962835,659.8978692316886,689.9665475237065,723.4237754815097,765.549437042393
305714000.csv,Kalman,7.822227201384328,16.866092016332196,33.92654672676794,45.24287045324948,50.62487919921544,98.44421715697096,192.27902510839198,174.9231102375055,209.36984331455085,323.3705333518593,219.08865562028006,266.55816757015293,269.79550733028674,408.41606441936335,458.4901781647993,481.3892533938669,541.0550488006219,639.9580673906777,743.0665127937694,956.142063964526,1254.1555531065658
305714000.csv,Linear,73.33951752484636,107.53063501385826,140.54286590571533,176.86969503625787,206.2877204836185,248.85305401688734,304.05865203135113,337.72047850191075,363.99214470013067,402.25248817765697,423.5181761717355,454.4195842718803,557.542227423005,568.953525439234,615.205776928214,679.4032229714592,691.6885213332027,713.6327509196813,952.9990788795345,950.4932867047008,996.9660903878308
304519000.csv,Kalman,14.150928703445604,25.585147107634995,39.88193800457274,63.3648893808736,68.49038546711073,94.46987013169417,129.26900519449214,128.67802132896847,133.6955251838371,198.3572862274071,150.14573783247988,167.0881509257211,211.8736144172177,238.11539564234718,188.69265275275808,180.43291597527377,166.82188303535233,196.70357457856954,214.5646206799408,346.3684934839558,381.12474148303966
304519000.csv,Linear,53.19453546932937,78.94278314318389,105.01322474459116,130.97986008014325,155.78766734827002,181.30095966621104,206.8782081172996,234.11014520685004,256.06791782475375,280.30759771479154,302.74370887488385,338.26895205909807,347.1603812464208,371.2233930192383,404.61669226463897,443.86732759461603,452.5237254202481,464.87330509804286,481.5208867980694,512.4548174310615,537.294785824868
304927000.csv,Kalman,17.6209414265297,49.60574226323719,97.30718699420395,133.66352170284443,177.98119853977678,175.4898009173656,187.12721245989476,202.5176746817435,238.26334862728322,325.9978188808211,318.7093742958628,450.2918413755118,533.1602022413279,501.9516496914946,381.30171614039983,331.49680302812226,393.65489276067973,561.5822227467866,693.5713066552356,666.3763892006884,839.5088205138152
304927000.csv,Linear,32.13996023079312,47.83390041605348,62.75906374095597,77.91260166513649,94.8271252913716,108.36821977917793,124.55939637491142,139.46674084348737,156.6522724267105,170.6148961800321,186.6556262200095,198.7383938333265,209.5808853725516,226.99191706088183,251.6059792769388,264.6463986731716,268.6496683459331,276.81258526290964,289.4728396664563,310.07861562426274,330.49150870498704
636092331.csv,Kalman,7.298710594032905,8.452614855149525,9.634808233534885,12.098130906678001,16.102401069317335,16.898512055541975,21.90780286354647,29.08089318160649,34.29645946542453,41.32656439466406,45.66268594977058,62.31580439609928,77.20463972258587,68.17010309133828,86.60344051138277,126.82419223712381,128.50186186970012,127.81768580646094,169.54178744887736,207.90098653340664,175.77068102081978
636092331.csv,Linear,67.88379624166303,100.54288133976173,133.6148960184288,166.01245740925833,200.2084039754291,228.62075490905968,264.66776686418973,295.5924326009967,327.30384132339793,357.5003135128143,396.6643609494623,415.18449994229127,437.70735354820056,477.5619150644401,531.7723476792786,551.6170049617742,563.6183028128347,578.4205128442834,610.1328608074824,647.0843510442387,695.932493065738
224389000.csv,Kalman,11.982232935240104,20.78920999720807,29.62186502558547,49.86429358202868,80.73971418745225,131.56268059415277,176.72824141175246,138.17830300085126,293.89025367924404,261.17740747718517,258.5698458082229,250.4839252923951,316.5666547215279,171.3785386800991,96.96023891183013,122.30921642922868,162.67418584674797,140.50934570704226,359.7615256694681,394.99634553927785,466.05948201827823
224389000.csv,Linear,69.57860409595517,104.35983092177534,137.37502658914852,171.87767933894514,204.76416374017893,238.42820822952396,271.1158078039524,301.0023085855929,337.59983588634077,361.06957511839687,405.0856414465851,431.6269091222573,459.35086553638007,498.8728053279342,544.2232009295471,562.0751928784896,576.5904121316333,602.0443611314964,642.3224650329358,676.5277984960775,725.5540514508928
220540000.csv,Kalman,11.52798028563997,14.184646661144573,22.781868677942352,35.97925615619874,56.374135643424744,81.23977605381555,111.01604017522975,119.27020457725153,132.90570893303035,183.63887875718316,230.11952517028294,255.78462076338533,366.6777979265811,339.82558762647943,295.4817117241425,431.5874180664216,492.94703337266515,457.567834123758,460.37303890147257,454.70662771891796,653.5827204438699
220540000.csv,Linear,88.74886418177852,132.788911688208,177.45231652862398,219.79161622386476,262.4744374382402,308.0181171100484,349.50998080542746,395.45791827091136,431.7825688016541,476.52182905986064,508.91600967184337,569.1600263168693,588.7813999983935,625.2654338886869,683.5496150527877,746.565320690711,759.2209108965282,783.5295395150189,812.9094369896899,854.8521829124162,906.7296871414833
211286440.csv,Kalman,14.224651607076797,31.52841588923123,60.54222444361613,84.35373905783271,106.15450645070996,103.81170375538683,142.14526937945544,167.03166284872037,179.82088100140376,189.62667312205812,209.00747335392376,270.8163779193071,233.32547350333323,219.84174818297242,185.60196941560923,232.53247773878348,317.3785408464512,473.0523399498315,453.6018418469574,502.4034703681066,436.849034291494
211286440.csv,Linear,38.068949273291906,56.27250792301315,74.77305795682098,94.35777470017464,112.9252764999565,129.22908354597396,147.14067575566946,166.70924958780003,188.0890332079204,199.26002383408178,224.14972949824204,233.31940734751092,249.16748888615984,276.1735598562907,299.11256679925884,308.30168770878373,318.36305543251075,333.023896717255,351.201118627627,375.1878036121116,399.7288628728442
