MMSI,Method,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19,Sub20,Sub21
538004506.csv,Kalman,11.147618014743069,14.135305835451152,17.906028969972446,22.800413909023018,27.739461109446676,42.47162669432872,52.60498933110646,60.61479519159076,71.18778657821417,79.59740687880975,93.23000361556912,106.09353260175908,117.9075912460831,137.39574708710578,155.913234538994,173.89149332611663,187.61113477843824,206.1699596963501,223.06716983868634,258.60504080330406,285.5971537265675
538004506.csv,Linear,34.058362002511906,49.53626793842343,65.19647818416628,82.1648343407606,99.28561105910885,112.91010871021801,129.00393630747155,144.25956926415898,160.86240062209902,176.5948498627661,192.75104544839596,206.9409888424089,221.27296820809832,245.69237767704837,260.01546019636476,271.6871914657181,292.33677304311817,312.2348439966909,329.04617737694883,344.43127757794144,351.78516706261854
226105000.csv,Kalman,18.614428852885418,30.96271362654033,74.17067527050645,154.3514930829393,261.11207732833657,368.95375417833543,381.9965370241075,505.75802510092234,412.5400925670251,522.5094185910694,354.25035483440814,440.64606536884577,309.70373259765336,263.30823488378553,269.38165544773136,353.5440271887964,392.2233049278761,597.3639860942819,859.1784295188083,919.4065947164544,896.1242907333119
226105000.csv,Linear,131.8621391835854,196.27862058772783,259.70253912879707,322.6378821519068,393.2330759997293,454.35780116292796,513.3658475204904,569.8627639671881,651.4740001651618,723.7664807844588,771.8989499349832,806.1093170071886,871.9341594973886,931.203687597808,996.0981296430562,1042.0230966189752,1118.3980900177637,1213.7243587104892,1277.710263701868,1326.5140829247969,1364.380809022261
235097013.csv,Kalman,10.626721645151873,13.889790935266852,17.75739301449852,24.11341821140574,55.51937442041065,75.72118643612593,99.35206841581865,85.23617069311382,157.76555198513682,90.12918526152973,237.27964967678224,230.32627941952268,133.28419366100368,178.5433025080183,143.6402306406774,137.36519408689625,143.33354582245585,171.96467649872295,177.65704321921524,241.2077713332611,422.29692541294753
235097013.csv,Linear,75.62589023832994,112.34726362707119,149.7188161161506,187.30489664877342,225.09404723155154,262.6736009528965,294.96384133141123,329.8229204997944,363.6608594596277,408.62189574275254,430.6179107799079,483.5081618560511,499.9306614650042,539.6003654681459,598.1136218184133,607.1366959650711,632.0171701804901,672.138918247476,725.9074910546693,762.319890662958,779.4093401436098
305714000.csv,Kalman,7.822227201384328,15.367755603509504,34.880817146505414,53.35611766798279,68.25818932079267,70.11274196445103,113.13286548501215,178.45029435412744,253.75904253014923,223.99317733448507,309.3304889196023,280.2107194965507,383.86465456411725,352.4358098932759,409.37269655593303,419.99295214836286,423.100747009137,743.1398386088143,692.7756131398276,635.0998144255972,1308.9927224690837
305714000.csv,Linear,73.33951752484636,106.49865031662732,143.48141944362942,176.61212445023486,217.61504634989822,244.61373707032445,293.007361580725,324.2847395551596,362.6317416737523,387.8589364618194,398.53979677086846,437.2108434225401,471.20309330873005,487.04299869720813,631.7893619087625,654.7458050900085,685.0064776858992,756.1898249426458,783.345992248134,796.5121091220707,970.2677149676049
304519000.csv,Kalman,14.150928703445604,25.53688609591049,41.49735248379092,63.546528074106725,64.6650619782678,92.10532204201462,82.05970636515119,135.07098477469876,150.1994474156702,193.58906019253348,112.66867403746177,138.2302974123531,237.87876085539185,192.90672987389976,190.64826344535206,201.3523307907978,160.39274794404022,150.19685621916153,251.23751045529966,339.84244905644306,204.88376232627155
304519000.csv,Linear,53.19453546932937,78.97705562215515,105.31555006636508,132.12606471582004,157.95279039152027,181.06291163107218,203.6006093766905,232.3599532797024,256.5617972151143,288.28467108483136,307.21432147571284,340.3366329061289,349.628792569588,377.79454736192326,421.2030405542361,432.5811699861956,444.9235796496933,468.9049233755329,498.0321376481793,551.4458977452229,546.3036565328622
304927000.csv,Kalman,17.6209414265297,50.46843998903805,96.06240950396582,137.57222418480683,181.84572673620607,176.79007483358257,174.48021699248056,189.8906580766835,233.26249142590245,241.5309257634336,362.9270239002001,452.18143866420064,428.28258743924715,453.7791954330044,448.1938803388244,264.74089561179306,285.2356336120148,476.63683082482225,529.0314694599405,639.7821933744607,760.3124530715522
304927000.csv,Linear,32.13996023079312,48.00688696161002,63.04894173396259,78.71662649477751,94.75664179462544,108.16612595890001,124.41018809101534,140.74837090843073,154.9172625702645,172.61563446516487,187.82500290601473,198.34918209153204,211.93593116248567,233.3919433829526,247.00844661102334,252.78871743965732,268.64874309498043,289.7535329507754,315.3519896295501,327.32961613045984,331.0462253977067
636092331.csv,Kalman,7.298710594032905,8.149410182832549,10.08666022320862,11.298826768740497,15.258808879292532,17.16000285189006,24.0599649975372,28.352237025950657,35.93465269242073,40.930478563133555,45.365279125939814,68.3139749941042,67.37360029860336,92.36333253439402,116.32773243874551,101.55172730343543,143.13380521675623,170.61721342880918,182.5734618840966,230.80460953452695,254.6271591857101
636092331.csv,Linear,67.88379624166303,101.20218284740535,133.5751378784058,166.8641180118201,201.5578756884857,230.40445185411704,267.10688279283113,296.61643505119076,325.90872406612107,367.94415699820036,398.40725920487444,416.35529213170184,451.0256862468766,498.60447766088487,528.1883400935918,532.6917324290663,570.9371009395185,608.3087853704145,666.1306935252609,689.0917425060834,699.591234797339
224389000.csv,Kalman,11.982232935240104,20.18474201272581,34.66357655173799,59.52253447978233,102.99895069717357,169.562622537869,171.43141766347065,180.4681794413286,300.71192799312405,265.53704032908956,244.7775029938148,218.24291480497197,228.01310486570355,244.3900394575607,210.77329319636897,195.7517464443209,197.0064787591145,199.71452682013273,355.44311304286106,553.5461654148432,560.2943072308381
224389000.csv,Linear,69.57860409595517,104.36778166748356,138.93237149750823,172.40515043045752,205.5732817208634,239.3391428030143,273.5747791410479,303.61672355582,339.12535027482954,367.66116765372766,408.82926750328744,435.079602345044,466.223605994795,507.1163684212911,534.3498999294034,553.834696576547,586.8596088144826,637.9855356123841,676.8107333004269,698.4667368905937,715.5296220211391
220540000.csv,Kalman,11.52798028563997,14.071654264598964,22.29720240765171,36.99446692965471,56.989096545829554,87.83999642754794,103.81027170758342,123.7930865025931,150.27213662247786,178.8207557418778,224.84746400324684,312.1889820528844,305.87959225023184,313.7689743113812,358.0788022455148,412.5732165555366,355.9072990094162,602.150650355791,444.89803819468386,449.48499697297535,718.1839838411739
220540000.csv,Linear,88.74886418177852,134.18302984940476,178.79884360330053,222.49519590388078,266.1226849858944,312.6322506372241,346.16101486922935,390.2124318599044,431.14515163759,487.8857300062821,511.1449967710883,578.1031066624788,591.6787069048754,637.5290792015116,711.0751975952813,723.5234442391398,749.979494653758,793.7328344367976,852.4456756460851,932.1947886006022,940.1584727663472
211286440.csv,Kalman,14.224651607076797,32.03003915896712,59.65579748454424,78.33640286854269,90.38946459334069,123.74067631470369,124.9977681073182,134.6681222577821,147.96451061145584,190.1666894397198,254.80217719823244,259.4919141908775,303.9121120504858,179.59617722446305,137.8151583341944,218.79732318325355,240.18895017323212,443.9313905602261,481.1121206043427,409.07598105615114,369.3978158062488
211286440.csv,Linear,38.068949273291906,56.731717321928954,75.30349781399283,94.05613185082804,112.21948494815244,129.9000695688255,147.8216819465664,167.16525452618075,186.7389124960884,199.71723594658863,223.25418164176372,233.4470720100927,254.78496270899342,277.39700326943205,288.64150536771257,305.0875278486885,333.3982180585553,359.1936135343324,372.13361776703204,383.349756213367,393.81197861850234
207138000.csv,Kalman,12.984508476730031,62.44761339414249,143.4940863198253,233.29282978382966,320.32326873072094,380.44756233219135,378.5790826947654,337.11751037048595,273.4827232782053,143.8849469499201,215.0753975734673,260.8305308077854,415.21718347568105,441.8749318636304,394.0010417914545,270.70809544052355,234.7994800016842,542.7536208652822,761.912488675404,1012.2280373426845,1053.7447726810508
207138000.csv,Linear,37.40233541589271,55.82427653870462,74.4464762595586,92.60555632184636,110.93703234316946,129.5338643641537,145.8868373969126,164.36270082632788,181.2939371867884,202.78447837341733,214.918477001445,240.1670048496427,251.48158304489056,273.0091646781454,299.96504340607294,302.38749080298106,312.6992298700937,332.3763261748991,361.13236357666466,386.3357536962879,392.2712659435163
