MMSI,Method,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19,Sub20,Sub21
538004506.csv,Kalman,11.147618014743069,14.06373615420184,17.868123047149304,22.109408614905455,27.84962107224983,41.55465183320559,53.165818420929575,59.625226499300005,68.73173525097566,80.97353184644255,90.50785358290806,103.98893967097868,122.62642364044247,133.6740813862331,144.97429933301524,155.65631055842405,178.64311965514165,189.0451325924041,198.73557639070987,210.34365642920312,228.25964972147747
538004506.csv,Linear,34.058362002511906,49.95283389057106,65.80614003086623,82.13158495867198,98.37854511802362,113.11279055086827,129.50065183868014,142.8537658028038,162.52437320800715,176.23333578666055,188.91831374036835,206.26386669929263,225.6911012035254,236.1206690085072,251.4640514286892,275.1824129168555,299.0857238043659,312.88046609003135,309.7080938247662,320.0935252789565,331.70966915737625
226105000.csv,Kalman,18.614428852885418,28.59009290104442,75.70490685714844,152.85662780430042,254.95348508887201,343.50654131192937,444.2744681524798,596.1631052010553,422.89373183256816,443.35854706766344,461.4681918894182,372.2201648756152,365.11532928558603,320.81451578593794,317.7126696609672,374.2118512670961,419.9424410464447,598.5574884129451,749.5315910466645,1002.3090229347157,1114.2880309395182
226105000.csv,Linear,131.8621391835854,196.65274291717762,257.8148502999031,321.6956446789288,388.7622610296519,447.169327284697,519.9359947676284,576.6386126164231,620.4866880011916,708.8354717789439,763.9752360436574,811.2249673476009,883.7827160595705,939.7768598848924,994.2913284538151,1058.8182303356205,1114.815540565723,1154.5680352158986,1213.5925015826256,1285.1638438264063,1356.3132756062143
235097013.csv,Kalman,10.626721645151873,14.094505883038549,17.77410374168999,23.4575224295118,41.75267848355933,75.77243529465562,104.49284796095301,108.65594137950953,134.56912033361553,146.12268143700138,265.32928894947514,170.2174039207606,117.79053258287766,181.0426593509662,145.83016428643597,131.05031540075592,143.23649001700142,162.40473972598735,195.91135193401706,210.29760351464807,265.74285334094066
235097013.csv,Linear,75.62589023832994,112.35436957027541,149.61892558590387,186.04700017278643,222.63209145013934,262.6987732810603,295.7552254210377,330.91652421544336,373.01752612572614,396.57788027548577,442.2071292442104,466.9449861116465,510.9582626506809,544.157789228487,565.1651795482178,600.6040948314682,651.2302521658459,710.3996925017311,710.8374646410086,726.3480726931328,749.861914019064
305714000.csv,Kalman,7.822227201384328,14.132091315293241,36.32219674590758,43.66999587861088,57.80067648625047,119.41402200210085,130.52865769484913,130.6859142846833,176.78162226031478,221.81026847842742,247.12062888769037,312.71952942983387,319.05329782067724,441.7579376737436,343.54245601461895,416.10430894075733,487.8370585820853,607.6291856923556,542.7032325684688,987.7248942843449,794.6906041462217
305714000.csv,Linear,73.33951752484636,104.94358386851462,139.2353625106892,173.23328558847098,207.88087779760264,243.08820673610845,306.6090986919893,326.151959876133,346.22712706365064,368.1796249773026,414.3476474269445,445.4442350037235,522.4220409594215,547.7412501479712,562.8995678949044,595.3867373641115,619.6076688963768,638.6350034549178,666.1443299754262,797.3457732947608,836.4030509321254
304519000.csv,Kalman,14.150928703445604,25.27431971945734,39.30430056184104,55.0618702012875,41.02442288824023,86.75675160546709,93.92790790138203,115.9634462240437,131.6742605928764,187.69476502023235,167.8416310906821,167.58861657946696,286.95806770786004,293.74437518493977,184.01279977171842,156.60450491055747,134.76622179285783,169.56531052597256,270.7713239288433,275.78469491927734,248.82135722727637
304519000.csv,Linear,53.19453546932937,79.27476524324663,104.89165167121179,130.97280191678607,155.45606789496622,181.32708415167346,204.9605376405699,231.70374047912915,259.2821780358745,276.83077507896655,311.4698254151397,324.86826065950595,357.73680068913603,382.80940579449145,397.66673600227904,424.10078438538955,458.77367729773,492.048493343773,505.8564207982669,515.2367183738826,530.0222665827966
304927000.csv,Kalman,17.6209414265297,51.11478408848423,92.59764232603446,140.61087969373662,165.27970826166194,195.00246661444868,176.8768938811176,193.45141354921904,192.13763091881626,216.00503754998473,399.9466740220534,452.8959658516488,559.820217823211,500.9320164870911,326.2067689514399,250.9870163911061,289.5181538806558,417.5466826373193,765.1483013543317,726.6607955000898,772.7205422619564
304927000.csv,Linear,32.13996023079312,48.073749516747206,62.74800762074862,79.78483402977386,94.92656491230542,108.41723552889216,125.41667546361292,140.19250086316532,158.53920477292638,172.24574227332442,185.9309401646743,198.04930790370446,220.500517307823,230.55596405881823,237.2532062408962,257.379839166876,281.0492011806368,294.0819039468481,300.3587707904379,310.19848952455675,320.889818562402
636092331.csv,Kalman,7.298710594032905,8.335046092669904,10.140705512329498,11.793615691331036,15.779232574687473,17.605038705546047,21.476780218884873,28.456253137682317,35.852601211909416,43.58122057605535,45.60921051044941,65.39837505196438,98.83765560362627,92.98666760137307,109.89585435656947,101.94123988436299,152.65313278576355,190.8606738770647,192.0560785293879,195.01147520612037,176.82532970185133
636092331.csv,Linear,67.88379624166303,101.8443397859694,134.89686952397295,166.9240355392163,198.10814854045555,233.03188950378166,265.14259605291136,296.28344752120734,328.7564433370905,358.91253966844806,393.84817979133476,418.15330339309776,463.52329972387713,485.7364678725742,508.2658013215165,547.8794352697328,597.1214688716594,618.5853566520235,621.6594579295183,637.7313492343355,665.8153841541748
224389000.csv,Kalman,11.982232935240104,20.080896589733033,28.577636544451337,65.56080711133876,91.5897645643621,125.20534315084538,186.29784771255183,286.4671236676459,308.6425404391594,391.5064578985209,346.2958229943488,261.58084118887825,301.6505910519872,395.1880544894468,284.96528901074726,263.5821968068813,290.0644594146916,229.014630820385,433.2574218242335,642.5506327386513,640.0182441294028
224389000.csv,Linear,69.57860409595517,104.12631973438525,136.9440069057736,171.66223636199376,204.20739515067848,237.86222252581535,275.18456062812834,300.84668974320243,335.6112871204932,374.4942271428311,399.94294825171164,434.03313353268715,477.738830693311,499.1256112724504,515.4046644673147,558.6533031740641,598.4333247129543,621.0141583586384,641.8811569845832,668.4066710220719,699.9786052742357
220540000.csv,Kalman,11.52798028563997,14.732067535954291,22.68967001215878,36.318234247643254,57.872655591274125,84.06460105251672,111.76142527648851,140.92095310314292,161.19632121294268,197.9290867782106,232.14751860514616,242.23849807191004,257.6656821345458,338.25517638652366,347.9125310700869,426.92204993985416,319.06568391776307,639.710826070589,664.8096209683101,677.3739592285026,761.3944717967777
220540000.csv,Linear,88.74886418177852,134.09761075886212,178.6213173072917,219.92100708887168,263.42170930355576,311.9772371398542,346.1454274563468,391.27060521054665,444.0809735115676,472.29566546080036,523.4647533798302,554.4627524801185,607.6600769784966,648.3860565055832,673.687470019166,713.1487067815519,773.053824634579,842.5349075712837,850.6019016864609,868.387436915112,895.6539259483495
211286440.csv,Kalman,14.224651607076797,31.184353394816192,59.90968044681985,75.41422449946438,103.46184098276245,97.42287030292255,145.58876941395957,124.19940141662785,216.09797671882566,179.1028257938891,278.7990817795679,275.23051289423614,279.1101207587361,265.1257138025714,225.6325324429393,144.33622415568792,242.74265253474488,361.1033101775905,398.8999216951089,461.9402720698727,477.03743344092476
211286440.csv,Linear,38.068949273291906,56.89220955024255,74.72102046691838,94.0848857919191,112.10056993890353,130.292737052905,148.79461068552567,165.4213551621602,184.2760232697397,204.31987348753725,214.14605022091484,239.00343771122962,257.4454112955542,270.9483717097973,290.7491429665681,315.2310735908279,332.5273800579326,341.9200626235485,352.48468126822445,366.05977302696743,380.39039613709275
207138000.csv,Kalman,12.984508476730031,63.433513436783244,143.0526639083681,231.93442129602866,317.3807879987342,383.83452486234546,388.7484500503378,353.7221993429408,251.41583129718336,161.00420787672445,169.3733389189076,340.10641220283236,375.4060794002999,402.2432396307625,399.0465609308867,379.49290202989766,221.0109943405292,403.2988454759703,615.6027404605528,880.0635559448039,973.6440262699025
207138000.csv,Linear,37.40233541589271,55.58967610914123,73.87931180047305,92.16352800430448,109.2206345649171,129.13721100524165,147.1687478129286,162.87375482056302,184.09924817711172,195.66084586932308,215.81639263850596,232.94935109430548,260.0730751439908,277.1282250031562,282.3943708214531,302.943995923158,329.7973915517012,358.1721819116872,362.7091516852093,365.905068967863,380.36536695331586
207138000.csv,Kalman,13.433226148873072,40.99940684630346,116.41608842805684,224.24914234982072,373.5537058207978,521.0988691287416,650.3362281949294,752.0047933042696,786.6728317897139,709.4136582168314,696.8562386429735,560.5844522700617,299.09074119218434,332.6266186200601,443.7243269245881,379.41878585778903,225.1220588980611,242.51665953484886,389.2601996793642,681.4942605385529,1041.8042470191658
207138000.csv,Linear,99.88431187134447,148.34178524504574,199.1323546562529,246.02920707468692,296.92205630787015,345.15954755258036,392.0215356488323,439.14251851740516,494.77908132291935,529.7236278886257,591.4654232485201,618.4814179013335,686.8878787971884,730.64262892613,756.0620125976842,801.5698581441162,867.4405441143197,941.702584013187,961.5272826585002,980.5959295278527,1011.761209314687
215901000.csv,Kalman,9.331093323261491,12.747215972063191,20.43053590821877,31.38287934821933,48.43670922506861,65.06293445905555,82.83808784938546,102.93792309280967,138.24792275654931,158.9138013722158,217.63939083066143,212.53250382377124,265.62551294882564,299.04635879467133,320.95313649678457,339.1932024635017,412.3723674528792,489.73591940090813,529.9695201576371,544.9577243587481,554.1619206539837
215901000.csv,Linear,31.358302785455063,46.54597875578826,61.674279493035264,76.82069176471845,92.52003736554137,105.7085315721575,119.78848557826689,135.10743647253233,149.67038007826562,164.50824911905886,179.38247611925576,193.9770806037702,209.99570956147016,219.4676363058661,236.64486595828225,253.6032477405562,268.2744096116466,277.8852587678908,287.1309619306846,296.0007637626969,310.34713923875825
227146400.csv,Kalman,14.51847490853838,21.674938455512276,39.91782990305887,99.75622659367227,145.3298967943579,237.57076231320343,246.8384464720953,422.50043202785275,295.87424498255143,308.17846728523114,294.30550001073425,346.3483536071717,277.9483251260341,189.65122326644968,171.7384010061732,132.13556200824345,151.70515807843321,309.0354235032706,395.3223166536877,372.9838530874649,638.5700592446693
227146400.csv,Linear,109.88074791077555,165.39454636877025,215.71219942020966,268.339691362783,324.4137004413027,380.03785606421735,427.7997198361179,476.887307620399,523.6806163840811,568.9164532526415,617.0437626604269,681.4604687471425,738.6207663863165,761.1521637405405,821.1569987740221,878.5144922972804,917.1758917062531,943.7965116924412,969.3827681064469,1017.3846371767103,1072.1969347872698
314237000.csv,Kalman,8.230838809222817,9.300200524636757,11.764544183730928,14.44178404245362,18.808110896321505,22.0110305975065,26.16058389013194,32.472296517472316,37.830316435511094,44.03298539818385,46.65596009647552,54.83541008450048,65.89519959031898,71.13094453153477,82.36685184655043,90.39636331710109,86.86915369483198,95.0794432846594,109.97764594317772,117.3513669463486,129.38404239309028
314237000.csv,Linear,37.20532218199322,54.9809881459395,71.85424919692014,89.57871841946388,107.81940431669184,125.70519924741743,142.14645039407648,155.99489555830127,174.21312474717416,190.23909837782696,204.89316369672596,223.20301683101175,242.1331145934037,255.51938908463148,266.0781751949063,271.84253874995426,297.6246370082602,320.5502190886706,338.4372561915747,359.281834259487,375.0399540398972
565494000.csv,Kalman,19.90347570366022,53.700753406245006,87.15831803421064,137.74831524891553,154.67700197079841,184.01537960580313,210.6481356236673,290.0015600415382,294.3906961526397,264.8165155226401,379.42858084289804,437.1712007794006,380.4660174564702,488.67884452470537,369.7133346946027,393.61689163374336,361.0056485377593,441.58117894025764,671.9478040649439,638.3243943458662,790.6854795273497
565494000.csv,Linear,50.03540929941785,75.22390873983983,99.91740949306542,124.86363073649382,148.06202218223154,174.67792770944553,196.50912040444845,221.48024975427927,248.03295191568358,267.8466152544017,287.9265476927739,313.8109257308627,339.84580150940394,359.83610816170176,378.9007589219262,406.3911526524754,436.7073898090538,465.3378429224594,471.3563461101629,485.00064515958303,502.3052515148495
244740921.csv,Kalman,14.241812910703345,43.648410995063,82.59772384481512,118.33447331032862,104.61735924954462,154.086481861144,171.09581454511058,199.7014804008254,201.28891108722763,245.6488870951954,286.6642612930055,363.0823678168147,307.96947344222735,249.33632345178452,205.57122968461871,277.40985336769353,291.5791722924722,481.0158259955386,590.035153118748,519.0140157418101,567.6104607196762
244740921.csv,Linear,35.86699370247408,53.49674173715491,70.20523814513625,88.10560176000625,105.21656522670474,120.33942947336132,140.75106660656928,157.14952720084284,172.56680148367005,189.5078484029352,206.43528840540338,222.23626588188094,232.66413282009427,253.63140746893106,270.2197414052921,292.0793271917829,298.9794871445479,310.60061786506344,327.02740224832866,349.0116194930393,374.8635247409872
227330000.csv,Kalman,13.863705836040527,32.02124655491647,96.33903105366649,200.04283975966288,328.365722589813,461.424947227225,571.2708693278771,642.0275251305711,689.6570550895339,610.6604273147515,596.8513895271474,442.4849836902986,343.1853835053681,353.9838218500556,295.0916815525922,197.9706666367558,183.58624348675062,353.5347921543628,642.5055723418545,1026.5307766038247,1318.3997989061552
227330000.csv,Linear,94.45420555778891,141.01215057629318,188.20870630892915,233.05847197243853,279.8613780959301,323.6621893497219,371.7354084834237,414.48483575507237,468.0054494200144,503.7501104014303,545.0616422034623,592.6986251006576,653.8848299148098,676.0270740087755,717.9792861597782,771.5279944006263,826.8984721771267,866.5376661649303,890.497209469711,916.7094868543229,956.1138617628444
227372000.csv,Kalman,28.404119229393697,96.14529545400168,183.37054315366794,274.91027750043963,376.62600954600333,420.11964295076007,498.0311226414598,587.1215245770869,710.0036040884803,847.424117395352,737.5060035032926,852.5414671653128,666.4940324918628,610.1474036913556,621.4106220873807,905.8262302604976,1051.3795171407712,1657.5351377351064,1526.5782191949472,2066.473451562022,1436.8874205257823
227372000.csv,Linear,141.20082912721352,208.6146351676678,269.4717261545542,359.7419837003108,411.79409847666125,467.4244641129976,530.235513484248,601.983404518041,659.7541360112176,711.7303815564035,746.9139045418401,820.8125728199857,845.9322152370307,900.9695422438482,974.2765291026924,1033.2596721668867,1096.4766117248494,1262.4191925291832,1313.3771822599947,1355.503358295923,1514.5001849209548
228130000.csv,Kalman,13.082388070574293,16.84684265805961,39.84058703654005,89.66190754337653,136.99267018006364,189.78306422837366,219.12428113013686,245.78987592744576,276.9321872657141,310.3646080918635,298.2738693678199,236.771441263218,298.29788655622787,244.1889070645045,250.97082749378507,196.79352047792892,260.69938177685555,376.04732657179983,491.41414988477595,683.5946185159161,624.9339965057617
